,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
7196,14271,1016,9,615,44
7197,16777,578,52,293,104
7198,15216,180,147,519,59
7199,19865,551,66,1035,17
7200,18886,1316,5,338,110
7201,15764,436,80,818,23
7202,21407,994,167,954,176
7203,21159,1621,5,1539,19
7204,21683,1390,58,1503,27
7205,21680,1430,50,1191,109
7206,20096,300,111,465,72
7207,20432,1050,12,1298,3
7208,18646,184,155,287,125
7209,21980,1346,69,1464,39
7210,18178,228,140,90,176
7211,18295,293,114,244,135
7212,22877,1285,82,1617,15
7213,22380,1413,53,1367,64
7214,20356,1018,14,353,95
7215,18634,220,147,110,176
7216,21915,1586,16,1483,34
7217,22767,1290,83,987,168
7218,20827,1109,133,1111,132
7219,23708,1436,52,1211,98
7220,21177,1494,26,1344,71
7221,22464,1048,151,1460,40
7222,14511,1142,6,477,70
7223,15172,563,53,1053,8
7224,17972,171,150,780,32
7225,18582,72,181,163,161
7226,15619,430,83,578,54
7227,18434,319,106,135,164
7228,18762,73,183,116,173
7229,23341,1350,69,1541,24
7230,18523,1070,12,917,21
7231,17678,158,144,295,107
7232,16263,537,65,1483,1
7233,19462,819,31,183,145
7234,19681,616,56,241,131
7235,17562,231,125,1499,3
7236,17855,329,99,96,174
7237,16930,246,122,268,118
7238,19142,411,86,533,65
7239,14823,978,14,663,39
7240,16654,918,17,729,38
7241,17597,112,171,120,165
7242,17951,393,83,900,22
7243,15274,615,45,625,40
7244,15717,995,14,570,53
7245,15654,246,134,341,104
7246,18897,325,115,222,144
7247,22813,1361,67,1397,58
7248,15880,530,60,581,52
7249,20844,1568,13,1367,62
7250,22885,1658,9,1423,50
7251,22370,1269,88,1180,108
7252,21115,1494,26,1258,93
7253,17700,117,165,151,146
7254,16742,139,150,403,83
7255,21888,1086,132,1157,121
7256,17149,84,169,13,199
7257,22745,1641,8,1300,81
7258,23554,1346,70,1464,42
7259,14322,10,197,179,141
7260,20542,944,180,900,195
7261,22630,1135,125,872,198
7262,19921,784,34,669,49
7263,17086,411,80,255,123
7264,19365,333,105,205,141
7265,22710,1156,119,1149,123
7266,18423,384,87,902,22
7267,22803,1089,136,1423,50
7268,23375,1507,33,1385,62
7269,15942,344,102,538,57
7270,22057,1334,71,1160,117
7271,16948,79,174,6,204
7272,14942,938,16,254,131
7273,19410,1266,8,355,91
7274,18447,273,129,265,133
7275,18742,1181,8,1077,10
7276,17938,1012,16,502,68
7277,19940,872,25,1065,15
7278,21226,986,168,900,195
7279,23137,1368,66,1531,24
7280,17591,838,31,360,95
7281,16072,451,80,593,51
7282,20174,172,149,192,144
7283,16388,680,40,733,33
7284,17335,551,55,389,84
7285,23038,1832,1,1754,4
7286,14730,411,83,526,60
7287,16622,358,96,461,77
7288,18299,293,120,549,63
7289,22669,1648,6,1569,18
7290,22432,1235,98,1662,5
7291,17382,480,69,323,102
7292,15687,412,87,192,145
7293,17871,291,110,1037,14
7294,23899,1262,89,1117,134
7295,23141,1348,73,1092,134
7296,20108,281,118,112,166
7297,17442,587,52,733,35
7298,23322,1350,69,1448,46
7299,21907,913,187,986,168
7300,21839,1395,55,933,181
7301,20557,1120,130,1167,116
7302,15305,869,19,365,96
7303,23573,1342,72,1421,55
7304,23532,1453,47,1421,55
7305,17989,464,74,535,63
7306,23621,1133,126,1282,83
7307,19695,521,69,1207,8
7308,17742,295,107,158,144
7309,15006,573,54,372,89
7310,15226,106,168,519,59
7311,17605,241,121,156,150
7312,15176,438,79,435,80
7313,19787,249,127,191,146
7314,20773,1334,72,1112,131
7315,17690,586,58,495,73
7316,23254,1257,89,1642,12
7317,23739,1338,73,1276,85
7318,21291,1368,61,1342,69
