,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
0,20001,254,123,296,112
1,16890,1148,6,913,17
2,21610,1625,8,1430,50
3,22653,1629,11,1361,67
4,21579,1174,112,868,202
5,21981,1540,22,1442,46
6,21746,982,169,1314,79
7,16850,893,19,438,77
8,20201,1360,3,963,21
9,17811,989,19,546,61
10,20155,1061,14,1359,4
11,23130,1082,137,1622,15
12,22485,1251,95,1258,92
13,21039,1180,112,1354,68
14,21040,1087,137,1320,77
15,14789,589,50,290,116
16,15110,909,17,1144,6
17,23228,1146,120,1418,54
18,16128,879,20,413,88
19,19577,547,65,192,139
20,22074,1389,57,1439,46
21,16331,544,61,526,68
22,21493,1309,79,1288,83
23,15196,330,102,407,85
24,20725,1307,79,953,177
25,16858,1034,13,639,44
26,21128,917,186,907,193
27,23452,1324,77,1543,24
28,16295,364,98,334,103
29,17094,302,105,621,39
30,15137,1456,1,963,14
31,20698,979,169,982,166
32,21030,1265,92,1509,23
33,15140,383,87,153,153
34,19560,1266,8,1422,4
35,15161,623,44,328,106
36,20167,103,171,161,150
37,18070,338,101,217,136
38,19278,299,115,202,142
39,17596,256,118,47,191
40,17648,520,66,640,49
41,22693,1505,29,1570,17
42,17087,275,117,111,161
43,14647,248,127,11,195
44,15714,542,59,110,164
45,15913,601,47,364,98
46,17808,1496,3,1434,4
47,15195,302,110,356,97
48,20125,440,76,210,141
49,17993,347,99,396,85
50,20369,420,76,264,118
51,16006,659,41,138,162
52,15043,821,23,428,80
53,16667,672,44,539,65
54,20329,1161,8,1179,6
55,22463,1670,4,1559,19
56,21302,1335,72,1182,113
57,14591,87,175,222,133
58,22113,1141,123,1180,111
59,20712,1510,22,1525,21
60,15648,323,110,334,105
61,22763,1397,58,1341,69
62,16513,1266,3,924,16
63,23914,1229,94,1137,124
64,21272,954,177,1322,75
65,18019,338,102,703,39
66,17431,602,49,665,42
67,20676,1121,128,868,206
68,14723,147,150,577,52
69,14257,104,165,104,162
70,20875,1291,83,1161,118
71,18067,1400,2,307,110
72,21212,1267,91,1350,68
73,19453,68,186,801,33
74,18060,807,29,842,27
75,15012,274,122,620,42
76,20217,685,45,686,44
77,16494,714,35,1039,13
78,22944,1251,94,1245,95
79,22327,1200,103,988,167
80,15102,518,62,975,13
81,22470,1352,68,1151,121
82,17861,116,168,102,170
83,18526,506,67,392,86
84,18103,252,129,81,180
85,21176,1425,46,1380,58
86,17893,634,46,365,90
87,22991,1449,44,1423,50
88,14629,733,33,473,68
89,21375,1069,147,1299,81
90,16076,601,49,223,135
91,20966,1073,143,996,163
92,18816,1400,2,1165,8
93,23316,1508,32,1135,124
94,16206,879,20,962,18
95,14795,713,34,455,77
96,20616,1550,15,1460,37
97,16175,304,114,52,182
98,18229,490,68,385,88
99,16117,381,94,419,87
100,22115,1086,134,1052,149
101,19897,738,39,524,68
102,18427,540,63,329,104
103,14891,565,55,554,60
104,18845,747,36,381,88
105,22636,1070,145,1280,86
106,16965,68,180,71,178
107,17675,201,131,218,124
108,22800,1290,83,1340,70
109,21361,1077,140,908,190
110,23816,857,203,1338,73
111,17341,634,41,322,102
112,19485,603,61,1119,13
113,21145,1075,142,1190,110
114,17888,241,125,82,177
115,15996,291,118,185,145
116,21938,1292,83,1134,126
117,17714,623,51,1163,9
118,23682,1169,110,776,211
119,21549,950,179,1312,78
120,22411,897,193,1332,73
121,17013,839,25,533,50
122,15134,1288,3,952,15
123,15947,322,109,329,105
124,19049,12,202,48,194
125,18453,950,19,965,18
126,20602,1316,75,1149,121
127,23683,966,171,865,198
128,15027,474,73,603,45
129,16675,214,128,326,102
130,23678,1423,54,1421,55
131,14602,23,192,212,135
132,15994,407,89,148,156
133,23014,1357,69,1538,22
134,18465,288,118,565,57
135,20837,1471,35,1117,129
136,22896,1455,42,1661,8
137,17131,490,65,1052,14
138,15304,231,135,283,118
139,19192,746,34,675,41
140,19110,1382,4,298,119
141,22641,1376,61,1400,57
142,18631,1310,4,885,20
143,15126,329,106,248,131
144,23013,1479,36,1296,81
145,15626,38,194,318,110
146,14391,553,55,552,56
147,22384,919,184,1312,78
148,15647,366,96,108,164
149,20740,1598,8,1248,96
150,19093,508,71,518,67
151,21716,1069,142,969,174
152,15867,364,98,536,59
153,20448,2124,5,2099,7
154,23862,1635,13,1382,61
155,16377,933,18,142,156
156,16140,581,55,419,87
157,17004,123,159,93,168
158,17643,1377,6,823,27
159,18566,105,176,77,180
160,18517,396,85,120,172
161,23107,1202,103,963,171
162,14694,239,133,304,112
163,20807,1619,5,1635,4
164,16158,601,51,879,20
165,16587,291,110,291,110
166,21180,1516,21,1573,12
167,16739,528,61,511,63
168,21369,992,167,1077,140
169,21280,1314,78,961,175
170,21633,1235,98,1029,156
171,14443,182,139,359,97
172,18649,238,142,728,37
173,16671,527,67,774,29
174,16058,829,27,138,162
175,15013,536,63,280,120
176,14727,627,43,411,83
177,15597,183,143,127,163
178,15643,275,119,408,89
179,22740,1742,3,1413,53
180,14972,242,137,28,195
181,16966,511,53,464,65
182,15592,71,181,718,33
183,22368,1456,42,1235,98
184,17044,898,23,94,167
185,17691,93,175,160,143
186,22920,1621,14,1744,5
187,17935,100,171,618,49
188,16240,149,153,95,170
189,14887,529,64,388,88
190,15144,1288,3,976,12
191,20869,1154,121,991,165
192,16633,486,74,700,41
193,14962,1344,2,557,58
194,23875,1564,21,1461,44
195,19788,432,78,446,77
196,19623,751,35,318,103
197,23609,1058,145,1075,141
198,20282,1253,5,302,108
199,22609,1340,70,1089,136
200,17777,93,175,188,135
201,15875,120,166,327,106
202,16824,747,34,613,47
203,20694,1225,100,1344,68
204,18602,114,174,101,178
205,14457,45,185,394,87
206,15295,110,168,429,81
207,19288,600,59,965,18
